28;1;1
28;1;0
2857552;1;1
3773732;1;0
4111756;1;1
4229160;0;1
4286600;1;1
4352196;1;0
4410108;1;1
4453144;1;0
4486192;1;1
4518736;1;0
4543748;1;1
4557700;0;1
4568492;0;0
4590588;0;1
4614224;0;0
4635864;0;1
4660072;0;0
4681388;0;1
4694616;1;1
4705364;1;0
4727088;1;1
4750816;1;0
4772464;1;1
4796320;1;0
4818172;1;1
4833016;0;1
4842224;0;0
4864336;0;1
4888308;0;0
4910160;0;1
4933972;0;0
4955704;0;1
4969008;1;1
4979488;1;0
5001184;1;1
5025008;1;0
5046712;1;1
5070616;1;0
5092496;1;1
5106848;0;1
5116580;0;0
5138672;0;1
5162600;0;0
5184552;0;1
5208388;0;0
5230092;0;1
5243468;1;1
5253884;1;0
5275660;1;1
5299560;1;0
5321192;1;1
5345128;1;0
5367064;1;1
5381324;0;1
5391196;0;0
5413260;0;1
5437216;0;0
5459188;0;1
5483064;0;0
5504776;0;1
5518144;1;1
5528572;1;0
5550376;1;1
5574308;1;0
5595968;1;1
5619932;1;0
5641868;1;1
5656192;0;1
5666020;0;0
5688148;0;1
5712132;0;0
5734112;0;1
5757976;0;0
5779756;0;1
5793096;1;1
5803588;1;0
5825404;1;1
5849320;1;0
5871036;1;1
5895004;1;0
5916968;1;1
5931440;0;1
5941132;0;0
5963284;0;1
5987316;0;0
6009288;0;1
6033208;0;0
6054992;0;1
6068352;1;1
6078884;1;0
6100692;1;1
6124628;1;0
6146380;1;1
6170352;1;0
6192352;1;1
6206652;0;1
6216536;0;0
6238712;0;1
6262772;0;0
6284772;0;1
6308728;0;0
6330496;0;1
6343884;1;1
6354412;1;0
6376248;1;1
6400248;1;0
6421960;1;1
6445992;1;0
6468008;1;1
6482352;0;1
6492224;0;0
6514412;0;1
6538476;0;0
6560504;0;1
6584428;0;0
6606292;0;1
6619684;1;1
6630212;1;0
6652080;1;1
6676056;1;0
6697844;1;1
6721900;1;0
6743920;1;1
6758280;0;1
6768156;0;0
6790376;0;1
6814488;0;0
6836516;0;1
6860508;0;0
6882348;0;1
6895728;1;1
6906292;1;0
6928172;1;1
6952192;1;0
6974000;1;1
6998044;1;0
7020120;1;1
7034560;0;1
7044396;0;0
7066620;0;1
7090736;0;0
7112812;0;1
7136816;0;0
7158688;0;1
7172084;1;1
7182656;1;0
7204564;1;1
7228572;1;0
7250416;1;1
7274520;1;0
7296604;1;1
7310992;0;1
7320924;0;0
7343152;0;1
7367324;0;0
7389396;0;1
7413400;0;0
7435308;0;1
7448748;1;1
7459296;1;0
7481224;1;1
7505308;1;0
7527144;1;1
7551264;1;0
7573352;1;1
7587864;0;1
7597680;0;0
7619976;0;1
7644140;0;0
7666248;0;1
7690268;0;0
7712224;0;1
7725664;1;1
7736220;1;0
7758184;1;1
7782244;1;0
7804152;1;1
7828292;1;0
7850404;1;1
7864908;0;1
7874760;0;0
